"","id","StartDate","EndDate","studytime","bottest_filter","handw","discomfort1_1","discomfort1_2","discomfort1_3","discomfort1_4","discomfort1_5","discomfort1_6","discomfort1_7","discomfort1_8","dginstrux","comp2","fairQ","fairQ_rt_First.Click","fairQ_rt_Last.Click","fairQ_rt_Page.Submit","fairQ_rt_Click.Count","assignrt_First.Click","assignrt_Last.Click","assignrt_Page.Submit","assignrt_Click.Count","forced","preventRT_First.Click","preventRT_Last.Click","preventRT_Page.Submit","preventRT_Click.Count","comp1","r1_rt_First.Click","r1_rt_Last.Click","r1_rt_Page.Submit","r1_rt_Click.Count","dg1","dg1_rt_First.Click","dg1_rt_Last.Click","dg1_rt","dg1_rt_Click.Count","r2_rt_First.Click","r2_rt_Last.Click","r2_rt_Page.Submit","r2_rt_Click.Count","dg2","dg2_rt_First.Click","dg2_rt_Last.Click","dg2_rt","dg2_rt_Click.Count","r3_rt_First.Click","r3_rt_Last.Click","r3_rt_Page.Submit","r3_rt_Click.Count","dg3","dg3_rt_First.Click","dg3_rt_Last.Click","dg3_rt","dg3_rt_Click.Count","r4_rt_First.Click","r4_rt_Last.Click","r4_rt_Page.Submit","r4_rt_Click.Count","dg4","dg4_rt_First.Click","dg4_rt_Last.Click","dg4_rt","dg4_rt_Click.Count","r5_rt_First.Click","r5_rt_Last.Click","r5_rt_Page.Submit","r5_rt_Click.Count","dg5","dg5_rt_First.Click","dg5_rt_Last.Click","dg5_rt","dg5_rt_Click.Count","num1","num2","num3","num4","num5","num6","num7","num8a","num8b","num9","num10","num11","num12","num13","num14","compcheck","Guess","memQrt_First.Click","memQrt_Last.Click","memQrt_Page.Submit","memQrt_Click.Count","conf","discomfort3_1","discomfort3_2","discomfort3_3","discomfort3_4","discomfort3_5","discomfort3_6","discomfort3_7","discomfort3_8","responsible","gender","age","deception1","deception2","feedbackexcl","dgXP","id.1","dg1.1","dg2.1","dg3.1","dg4.1","dg5.1","Numeracy","DGAverage","AveRT","GuessVsAve","GuessVsAveA","DG.stdev","FairVsActual","discomfort_t1","discomfort_t2","diss","posA_t1","posA_t2","posAdiff"
"20",20,"7/12/19 7:46","7/12/19 7:54",8,1,"If you can't be there in person, send a letter.",3,2,4,5,3,3,4,5,"I have carefully read and understand the instructions above.",FALSE,30,6.227,18.883,19.501,2,0,0,2.007,0,"I have carefully read and understand the instructions above.",16.258,16.258,16.939,1,FALSE,0,0,3.006,0,40,3.043,3.043,4.071,1,0,0,3.007,0,60,1.849,1.849,2.562,1,0,0,3.006,0,40,1.861,1.861,2.594,1,0,0,3.009,0,50,1.993,1.993,2.727,1,0,0,3.006,0,60,2.174,2.174,2.829,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","18","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",53,4.775,8.423,9.181,2,5,3,3,3,4,3,4,2,2,1,"Male",27,1,1,1,1,690,40,60,40,50,60,13,50,2.9566,3,3,10,-20,3,3,0,4,3,-1
"22",22,"7/12/19 7:46","7/12/19 7:54",8,1,"If you can't be there in person, send a letter.",1,1,1,5,7,4,2,4,"I have carefully read and understand the instructions above.",FALSE,50,21.313,21.313,22.152,1,0,0,2.108,0,"I have carefully read and understand the instructions above.",13.829,13.829,15.334,1,FALSE,0,0,3.007,0,0,5.249,18.942,19.721,4,0,0,3.106,0,0,3.924,4.901,5.625,2,0,0,3.007,0,0,1.403,1.403,2.224,1,0,0,3.005,0,0,1.661,1.661,2.5,1,0,0,3.105,0,0,1.115,1.115,1.84,1,"500","10","0.1","1 in 10","10%","2","1 in 50","10","100","20","5","1 in 12 chance","90","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",0,1.486,5.473,7.625,3,7,1,5,1,7,7,7,1,7,1,"Male",35,1,1,1,1,647,0,0,0,0,0,15,0,6.382,0,0,0,50,1,2.33333333333333,1.33333333333333,4.4,5.8,1.4
"23",23,"7/12/19 7:45","7/12/19 7:54",9,1,"If you can't be there in person, send a letter.",2,2,1,6,7,6,4,5,"I have carefully read and understand the instructions above.",FALSE,0,7.867,7.867,8.542,1,0,0,2.112,0,"I have carefully read and understand the instructions above.",13.185,16.786,17.524,3,FALSE,0,0,3.113,0,10,3.963,3.963,5.003,1,0,0,3.009,0,10,2.316,2.316,3.688,1,0,0,3.01,0,10,1.696,1.696,2.721,1,0,0,3.113,0,10,2.002,2.002,3.248,1,0,0,3.012,0,10,1.493,1.493,2.549,1,"500","10","0.001","1 in 10","10%","2","2","10","1","20","5","1 in 12 chance","9","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",10,1.545,3.287,6.616,2,7,1,1,1,6,7,6,5,5,1,"Female",31,1,1,1,2,304,10,10,10,10,10,12,10,3.4418,0,0,0,-10,1.66666666666667,1,-0.666666666666667,5.6,5.8,0.2
"25",25,"7/12/19 7:45","7/12/19 7:54",9,1,"If you can't be there in person, send a letter.",1,1,1,4,4,4,3,3,"I have carefully read and understand the instructions above.",FALSE,50,6.83,6.83,7.998,1,0,0,2.112,0,"I have carefully read and understand the instructions above.",16.983,16.983,17.838,1,FALSE,0,0,3.013,0,70,4.778,4.778,5.544,1,0,0,3.008,0,60,2.66,2.66,3.435,1,0,0,3.007,0,60,3.197,3.197,5.859,1,0,0,3.11,0,70,2.401,2.401,3.234,1,0,0,3.107,0,70,2.829,2.829,4.051,1,"500","10","0.001","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","10","100","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",55,15.138,17.399,18.416,2,5,1,1,1,4,4,4,4,3,1,"Male",44,1,1,1,2,394,70,60,60,70,70,12,66,4.4246,-11,11,5.47722557505166,-16,1,1,0,3.6,3.8,0.2
"30",30,"7/12/19 7:47","7/12/19 7:54",7,1,"If you can't be there in person, send a letter.",1,1,1,7,7,5,7,3,"I have carefully read and understand the instructions above.",FALSE,50,4.68,4.68,6.276,1,0,0,2.107,0,"I have carefully read and understand the instructions above.",11.36,13.072,13.801,3,FALSE,0,0,3.109,0,50,3.552,3.552,4.553,1,0,0,3.013,0,50,1.665,1.665,3.74,1,0,0,3.013,0,30,2.162,2.162,3.66,1,0,0,3.108,0,40,1.779,1.779,2.737,1,0,0,3.109,0,50,1.503,1.503,2.376,1,"500","100","10%","1 in 10","10%","2%","2","10","100","80","100","1 in 12 chance","50","128","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,1.359,1.359,2.413,1,1,7,7,7,7,7,7,1,3,4,"Male",61,1,1,1,2,526,50,50,30,40,50,10,44,3.4132,6,6,8.94427190999916,6,1,7,6,5.8,5,-0.8
"31",31,"7/12/19 7:46","7/12/19 7:54",8,1,"If you can't be there in person, send a letter.",1,1,1,7,7,5,2,2,"I have carefully read and understand the instructions above.",FALSE,40,4.606,4.606,5.106,1,0,0,2.014,0,"I have carefully read and understand the instructions above.",14.197,14.197,15.417,1,FALSE,0,0,3.013,0,50,3.345,3.345,3.941,1,0,0,3.017,0,50,2.121,3.355,3.967,2,0,0,3.013,0,40,2.034,2.034,2.7,1,0,0,3.013,0,50,2.382,2.382,3.165,1,0,0,3.112,0,50,2.112,2.112,2.619,1,"500","10","0.1","1 in 10","10%","2","1 in 50","1","10","20","5","1 in 12 chance","90","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",48,1.25,3.652,5.159,5,7,1,1,1,7,7,7,3,4,1,"Female",21,1,1,1,2,691,50,50,40,50,50,12,48,3.2784,0,0,4.47213595499958,-8,1,1,0,4.6,5.6,1
"32",32,"7/12/19 7:50","7/12/19 7:55",5,1,"If you can't be there in person, send a letter. And if you have trouble finding the time, let us help you!",4,4,3,3,4,4,3,3,"I have carefully read and understand the instructions above.",TRUE,40,0.54,2.439,2.747,3,0,0,2.01,0,"I have carefully read and understand the instructions above.",0.822,0.822,14.04,1,TRUE,0,0,3.008,0,50,0.851,3.282,4.184,4,0,0,3.005,0,50,5.347,6.392,7.419,3,0,0,3.105,0,50,1.601,2.105,2.911,2,0,0,3.006,0,50,0.922,3.299,4.491,3,0,0,3.107,0,50,0.688,2.279,3.119,3,"500","1","0.1","1 in 10","10%","1","2","19","1","20","5","1 in 12 chance","82","25","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,0.818,0.818,1.987,1,4,4,4,4,3,4,4,4,4,4,"Male",27,1,1,1,1,615,50,50,50,50,50,9,50,4.4248,0,0,0,-10,3.66666666666667,4,0.333333333333333,3.4,3.8,0.4
"34",34,"7/12/19 7:45","7/12/19 7:55",10,1,"If you can't be there in person, send a letter.",3,3,5,6,6,5,2,6,"I have carefully read and understand the instructions above.",FALSE,10,5.463,9.38,10.685,2,0,0,2.112,0,"I have carefully read and understand the instructions above.",13.971,13.971,15.078,1,FALSE,0,0,3.009,0,10,3.254,5.422,6.903,2,0,0,3.006,0,30,3.5,3.5,4.62,1,0,0,3.008,0,30,2.801,2.801,4.095,1,0,0,3.006,0,30,2.919,2.919,4.823,1,0,0,3.007,0,50,3.052,3.052,4.144,1,"300","1","10%","1 in 10","10%","2%","2%","10","1","2","10","1 in 12 chance","10%","128%","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",25,16.776,31.735,33.058,12,2,6,6,7,6,6,7,1,6,1,"Female",30,1,1,1,2,481,10,30,30,30,50,7,30,4.917,-5,5,14.142135623731,-20,3.66666666666667,6.33333333333333,2.66666666666667,5,5.2,0.2
"36",36,"7/12/19 7:45","7/12/19 7:55",10,1,"If you can't be there in person, send a letter.",3,3,4,6,6,6,6,3,"I have carefully read and understand the instructions above.",FALSE,10,5.259,5.259,6.295,1,0,0,2.007,0,"I have carefully read and understand the instructions above.",20.101,20.101,23.206,1,FALSE,0,0,3.119,0,50,2.703,2.703,3.755,1,0,0,3.009,0,60,6.6,8.267,8.886,2,0,0,3.117,0,60,2.488,2.488,3.194,1,0,0,3.005,0,50,8.525,8.525,9.123,1,0,0,3.024,0,60,9.953,9.953,10.628,1,"50","10","1","1 in 10","10%","2","10","1","10","20","0.1","1 in 12 chance","10","12","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",45,9.604,9.604,10.904,1,4,3,3,2,6,6,6,5,6,1,"Female",39,1,1,1,2,485,50,60,60,50,60,6,56,7.1172,-11,11,5.47722557505166,-46,3.33333333333333,2.66666666666667,-0.666666666666667,5.4,5.8,0.399999999999999
"37",37,"7/12/19 7:45","7/12/19 7:55",10,1,"If you can't be there in person, send a letter.",3,5,4,4,4,3,1,2,"I have carefully read and understand the instructions above.",FALSE,60,8.683,8.683,9.448,1,0,0,2.013,0,"I have carefully read and understand the instructions above.",15.804,15.804,16.904,1,FALSE,0,0,3.112,0,50,3.522,3.522,5.932,1,0,0,3.112,0,50,4.09,4.09,5.052,1,0,0,3.008,0,50,2.719,2.719,3.571,1,0,0,3.009,0,50,5.939,5.939,6.822,1,0,0,3.115,0,50,2.87,2.87,6.419,1,"600","100","0.1","1 in 10","10%","0.2","2","10","100","20","5","1 in 12 chance","9","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,5.493,6.314,7.344,2,7,4,4,4,5,5,5,3,4,1,"Male",31,1,1,1,1,144,50,50,50,50,50,11,50,5.5592,0,0,0,10,4,4,0,2.8,4.4,1.6
"38",38,"7/12/19 7:45","7/12/19 7:55",10,1,"If you can't be there in person, send a letter.",2,2,2,4,4,4,4,4,"I have carefully read and understand the instructions above.",FALSE,20,6.051,6.051,7.061,1,0,0,2.013,0,"I have carefully read and understand the instructions above.",48.238,48.238,50.822,1,FALSE,0,0,3.011,0,50,8.435,10.823,11.273,3,0,0,3.11,0,50,10.292,10.292,10.989,1,0,0,3.019,0,50,3.245,3.245,4.217,1,0,0,3.008,0,50,3.095,3.095,4.348,1,0,0,3.017,0,50,1.892,1.892,2.744,1,"500","10","0.01%","1 in 10","10%","2%","2%","10","100","20","5","1 in 12 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,1.981,3.397,4.284,2,7,2,2,2,4,4,4,4,4,2,"Male",18,1,1,1,1,514,50,50,50,50,50,12,50,6.7142,0,0,0,-30,2,2,0,4,4,0
"39",39,"7/12/19 7:46","7/12/19 7:55",9,1,"If you can't be there in person, send a letter.",1,1,1,5,7,5,5,4,"I have carefully read and understand the instructions above.",TRUE,70,3.373,3.373,4.361,1,0,0,2.138,0,"I have carefully read and understand the instructions above.",10.83,10.83,14.225,1,FALSE,0,0,3.025,0,50,3.326,3.326,4.56,1,0,0,3.244,0,50,2.619,2.619,3.779,1,0,0,3.124,0,50,1.655,2.259,3.876,2,0,0,3.04,0,50,1.68,1.68,2.847,1,0,0,3.23,0,50,5.601,5.601,7.598,1,"25","50","25","1 in 10","10%","2","1 in 200","25","50","10","5","1 in 12 chance","10","10","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,4.541,6.656,7.961,3,7,1,1,1,7,7,6,5,5,7,"Female",54,1,1,1,2,73,50,50,50,50,50,6,50,4.532,0,0,0,20,1,1,0,5.2,6,0.8
"40",40,"7/12/19 7:48","7/12/19 7:55",7,1,"If you can't be there in person, send a letter.",1,1,1,6,7,6,4,4,"I have carefully read and understand the instructions above.",FALSE,40,6.647,6.647,8.492,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",4.616,22.464,23.388,4,FALSE,0,0,3.007,0,90,3.845,3.845,5.181,1,0,0,3.108,0,90,3.151,3.151,3.814,1,0,0,3.007,0,90,2.496,2.496,3.206,1,0,0,3.007,0,90,2.328,2.328,3.088,1,0,0,3.006,0,90,2.518,2.518,3.111,1,"500","10","0.1","1 in 10","10%","2%","2 in 100","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",90,1.727,4.79,6.806,2,7,1,1,1,6,7,6,4,6,1,"Male",28,1,1,1,2,176,90,90,90,90,90,14,90,3.68,0,0,0,-50,1,1,0,5.4,5.8,0.399999999999999
"41",41,"7/12/19 7:49","7/12/19 7:55",6,1,"If you can't be there in person, send a letter.",1,1,1,7,7,6,4,5,"I have carefully read and understand the instructions above.",FALSE,40,0.858,4.532,5.618,3,0,0,2.023,0,"I have carefully read and understand the instructions above.",1.841,12.001,12.943,5,FALSE,0,0,3.106,0,50,2.754,2.754,3.479,1,0,0,3.006,0,50,1.712,1.712,2.364,1,0,0,3.017,0,50,1.987,1.987,2.88,1,0,0,3.007,0,50,1.754,1.754,2.351,1,0,0,3.012,0,50,1.397,1.397,2.432,1,"500","1","1%","1 in 10","10%","2","2","10","100","20","0.5","1 in 12 chance","18","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,1.354,3.633,4.606,2,7,1,1,1,7,7,7,6,7,1,"Female",23,1,1,1,5,125,50,50,50,50,50,10,50,2.7012,0,0,0,-10,1,1,0,5.8,6.8,1
